tumor_id,closest_fetal_sample,distance,stage,tissue,mean_TPM
0,33,27.50290073785985,,,
1,27,28.901766484881385,,,
2,32,23.581529908967198,,,
3,32,25.502174395408517,,,
4,105,34.11165230670112,,,
5,79,24.127241124122804,,,
6,32,21.25904624263855,,,
7,32,25.754769422306147,,,
8,36,23.804750201799603,,,
9,84,22.736571986926737,,,
10,40,25.526755204343356,,,
11,33,30.748523145383054,,,
12,72,27.698360026642913,,,
13,84,22.344915979122256,,,
14,79,21.600821255853408,,,
15,101,27.386078060696352,,,
16,36,26.141331053551703,,,
17,52,28.889102422488556,,,
18,32,24.892331047827938,,,
19,33,22.917114271856953,,,
20,40,21.968830318693712,,,
21,105,23.904777745659487,,,
22,32,21.427341480732892,,,
23,36,25.015237082331762,,,
24,33,22.88994015134069,,,
25,40,24.830849590963524,,,
26,40,21.846873876541768,,,
27,83,26.428952335863183,,,
28,32,24.726151296550043,,,
29,32,22.98738260707395,,,
30,84,26.47985994405666,,,
31,51,24.713255059852525,,,
32,32,22.27835311963957,,,
33,84,23.96643057161191,,,
34,32,22.96350963707587,,,
35,34,23.714629509557867,,,
36,40,22.838759813877804,,,
37,9,29.79963729324452,,,
38,83,21.329466481511794,,,
39,36,26.857816451955593,,,
40,32,27.216509391904253,,,
41,79,24.367913653514435,,,
42,77,27.96882815757869,,,
43,82,23.85797139811019,,,
44,83,23.54144536866423,,,
45,79,25.66153142766627,,,
46,32,24.38740765820925,,,
47,83,25.586532697396958,,,
48,84,23.672487417005012,,,
49,27,28.625501611269378,,,
50,77,37.02099134978839,,,
51,32,22.460667381733387,,,
52,79,25.374422025955006,,,
53,33,23.234658935127715,,,
54,79,26.821259946569036,,,
55,72,28.435762980752145,,,
56,77,27.771282966894457,,,
57,44,30.792957851179622,,,
58,32,23.121240950098045,,,
59,40,25.72087439024269,,,
60,79,24.961895898421652,,,
61,40,27.05356149267266,,,
62,84,26.226814923565634,,,
63,48,40.89405548882098,,,
64,32,21.57026473561238,,,
65,79,29.017337173568134,,,
66,40,26.250761081892676,,,
67,105,25.199044665406895,,,
68,36,21.996908620283925,,,
69,67,44.22073440970118,,,
70,40,22.473372599455224,,,
71,36,25.599773829856563,,,
72,36,23.41627480326145,,,
73,33,22.771131806496914,,,
74,36,24.72908789907275,,,
75,52,27.314978509234226,,,
76,36,22.846491093171423,,,
77,77,33.69633204927292,,,
78,32,21.501941701326896,,,
79,83,24.804169872015503,,,
80,101,26.537333015778817,,,
81,33,23.633212914221417,,,
82,40,26.882569826013675,,,
83,83,21.077756581728426,,,
84,66,33.265110162492576,,,
85,33,20.936634100049737,,,
86,40,26.594060417187514,,,
87,101,28.05292960308986,,,
88,32,23.728348870206382,,,
89,36,26.976703750321985,,,
90,36,25.305841236184047,,,
91,51,25.634927525261165,,,
92,105,21.730190671727545,,,
93,77,24.913246774337537,,,
94,83,22.587427562549305,,,
95,105,24.321346698102907,,,
96,83,21.753721366893068,,,
97,36,24.539567436422775,,,
98,105,23.411046706181164,,,
99,32,26.527021799860453,,,
100,33,24.730967492707876,,,
101,32,26.489406041100622,,,
102,84,24.995288010888476,,,
103,79,23.462190531295818,,,
104,32,25.718669881143658,,,
